1, none, minecraft:the_void, MONSTER, mna:lantern_wraith, 10, 1, 3
2, none, minecraft:the_void, CREATURE, ars_nouveau:drygmy, 10, 1, 1
3, plains, minecraft:plains, MONSTER, minecraft:spider, 50, 4, 4
4, plains, minecraft:plains, MONSTER, minecraft:zombie, 50, 4, 4
5, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
6, plains, minecraft:plains, MONSTER, minecraft:skeleton, 50, 4, 4
7, plains, minecraft:plains, MONSTER, minecraft:creeper, 50, 4, 4
8, plains, minecraft:plains, MONSTER, minecraft:slime, 50, 4, 4
9, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
10, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
11, plains, minecraft:plains, MONSTER, vampirism:vampire, 50, 1, 3
12, plains, minecraft:plains, MONSTER, vampirism:advanced_vampire, 26, 1, 1
13, plains, minecraft:plains, MONSTER, graveyard:ghoul, 25, 2, 5
14, plains, minecraft:plains, MONSTER, graveyard:revenant, 25, 5, 8
15, plains, minecraft:plains, MONSTER, graveyard:reaper, 10, 2, 3
16, plains, minecraft:plains, MONSTER, graveyard:nightmare, 10, 1, 1
17, plains, minecraft:plains, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
18, plains, minecraft:plains, MONSTER, graveyard:acolyte, 10, 2, 3
19, plains, minecraft:plains, MONSTER, mna:witch_hunter, 16, 1, 3
20, plains, minecraft:plains, MONSTER, mna:pixie, 16, 1, 3
21, plains, minecraft:plains, MONSTER, mna:hulking_zombie, 16, 1, 3
22, plains, minecraft:plains, MONSTER, mna:mushroom_soldier, 16, 1, 3
23, plains, minecraft:plains, MONSTER, mna:spell_breaker, 16, 1, 3
24, plains, minecraft:plains, MONSTER, mna:skeleton_assassin, 16, 1, 3
25, plains, minecraft:plains, MONSTER, player_mobs:player_mob, 50, 1, 4
26, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
27, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
28, plains, minecraft:plains, MONSTER, quark:stoneling, 50, 1, 1
29, plains, minecraft:plains, MONSTER, quark:toretoise, 50, 2, 4
30, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
31, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
32, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
33, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
34, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
35, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
36, plains, minecraft:plains, CREATURE, elwms:elwms, 10, 2, 3
37, plains, minecraft:plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
38, plains, minecraft:plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
39, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
40, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
41, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
42, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 50, 4, 4
43, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 50, 4, 4
44, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
45, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 50, 4, 4
46, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 50, 4, 4
47, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 50, 4, 4
48, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
49, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
50, plains, minecraft:sunflower_plains, MONSTER, vampirism:vampire, 50, 1, 3
51, plains, minecraft:sunflower_plains, MONSTER, vampirism:advanced_vampire, 26, 1, 1
52, plains, minecraft:sunflower_plains, MONSTER, graveyard:ghoul, 25, 2, 5
53, plains, minecraft:sunflower_plains, MONSTER, graveyard:revenant, 25, 5, 8
54, plains, minecraft:sunflower_plains, MONSTER, graveyard:reaper, 10, 2, 3
55, plains, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 10, 1, 1
56, plains, minecraft:sunflower_plains, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
57, plains, minecraft:sunflower_plains, MONSTER, graveyard:acolyte, 10, 2, 3
58, plains, minecraft:sunflower_plains, MONSTER, mna:witch_hunter, 16, 1, 3
