----------------------------------------------
*** WARNING ***
Don't use the item ID for anything "proper"!!
It's provided here for completeness's sake, it's different in every world.
----------------------------------------------
Mod name, Registry name, Item ID, Display name
----------------------------------------------
'Dustrial Decor, dustrial_decor:anchor, 12265, Anchor
'Dustrial Decor, dustrial_decor:barbed_chain_link_fence, 12260, Barbed Chain Link Fence
'Dustrial Decor, dustrial_decor:barbed_iron_bars, 12261, Barbed Iron Bars
'Dustrial Decor, dustrial_decor:black_light, 12357, Black Light
'Dustrial Decor, dustrial_decor:blue_neon_light, 12353, Blue Neon Light
'Dustrial Decor, dustrial_decor:bolted_industrial_iron_block, 12272, Bolted Industrial Iron Block
'Dustrial Decor, dustrial_decor:bolted_industrial_iron_slab, 12273, Bolted Industrial Iron Slab
'Dustrial Decor, dustrial_decor:bolted_industrial_iron_stairs, 12275, Bolted Industrial Iron Stairs
'Dustrial Decor, dustrial_decor:bolted_industrial_iron_vertical_slab, 12274, Bolted Industrial Iron Vertical Slab
'Dustrial Decor, dustrial_decor:cardboard, 12321, Cardboard
'Dustrial Decor, dustrial_decor:cardboard_boots, 12334, Cardboard Boots
'Dustrial Decor, dustrial_decor:cardboard_box, 12322, Cardboard Box
'Dustrial Decor, dustrial_decor:cardboard_chestplate, 12332, Cardboard Chestplate
'Dustrial Decor, dustrial_decor:cardboard_door, 12330, Cardboard Door
'Dustrial Decor, dustrial_decor:cardboard_helmet, 12331, Cardboard Helmet
'Dustrial Decor, dustrial_decor:cardboard_leggings, 12333, Cardboard Leggings
'Dustrial Decor, dustrial_decor:cardboard_scrap, 12328, Cardboard Scrap
'Dustrial Decor, dustrial_decor:cardboard_trapdoor, 12329, Cardboard Trapdoor
'Dustrial Decor, dustrial_decor:cast_iron_balustrade, 12286, Cast Iron Balustrade
'Dustrial Decor, dustrial_decor:cast_iron_billet, 12278, Cast Iron Billet
'Dustrial Decor, dustrial_decor:cast_iron_block, 12279, Cast Iron Block
'Dustrial Decor, dustrial_decor:cast_iron_brick_slab, 12282, Cast Iron Brick Slab
'Dustrial Decor, dustrial_decor:cast_iron_brick_stairs, 12284, Cast Iron Brick Stairs
'Dustrial Decor, dustrial_decor:cast_iron_brick_vertical_slab, 12283, Cast Iron Brick Vertical Slab
'Dustrial Decor, dustrial_decor:cast_iron_bricks, 12281, Cast Iron Bricks
'Dustrial Decor, dustrial_decor:cast_iron_pillar, 12280, Cast Iron Pillar
'Dustrial Decor, dustrial_decor:chain_door, 12268, Chain Link Door
'Dustrial Decor, dustrial_decor:chain_link_fence, 12259, Chain Link Fence
'Dustrial Decor, dustrial_decor:chain_trapdoor, 12267, Chain Link Trapdoor
'Dustrial Decor, dustrial_decor:cinder_block, 12315, Cinder Block
'Dustrial Decor, dustrial_decor:cinder_brick_slab, 12318, Cinder Brick Slab
'Dustrial Decor, dustrial_decor:cinder_brick_stairs, 12320, Cinder Brick Stairs
'Dustrial Decor, dustrial_decor:cinder_brick_vertical_slab, 12319, Cinder Brick Vertical Slab
'Dustrial Decor, dustrial_decor:cinder_bricks, 12317, Cinder Bricks
'Dustrial Decor, dustrial_decor:cyan_neon_light, 12352, Cyan Neon Light
'Dustrial Decor, dustrial_decor:engraved_cast_iron_block, 12285, Engraved Cast Iron Block
'Dustrial Decor, dustrial_decor:folded_cardboard, 12327, Folded Cardboard
'Dustrial Decor, dustrial_decor:gold_chain, 12262, Gold Chain
'Dustrial Decor, dustrial_decor:green_neon_light, 12351, Green Neon Light
'Dustrial Decor, dustrial_decor:hook, 12266, Hook
'Dustrial Decor, dustrial_decor:industrial_iron_billet, 12269, Industrial Iron Billet
'Dustrial Decor, dustrial_decor:industrial_iron_block, 12270, Industrial Iron Block
'Dustrial Decor, dustrial_decor:industrial_iron_door, 12277, Industrial Iron Door
'Dustrial Decor, dustrial_decor:industrial_iron_pillar, 12271, Industrial Iron Pillar
'Dustrial Decor, dustrial_decor:industrial_iron_trapdoor, 12276, Industrial Iron Trapdoor
'Dustrial Decor, dustrial_decor:iron_bar_door, 12343, Iron Bar Door
'Dustrial Decor, dustrial_decor:iron_bar_trapdoor, 12342, Iron Bar Trapdoor
'Dustrial Decor, dustrial_decor:large_chain, 12263, Large Chain
'Dustrial Decor, dustrial_decor:large_gold_chain, 12264, Large Gold Chain
'Dustrial Decor, dustrial_decor:large_lantern, 12345, Large Lantern
'Dustrial Decor, dustrial_decor:large_redstone_lantern, 12347, Large Redstone Lantern
'Dustrial Decor, dustrial_decor:large_soul_lantern, 12346, Large Soul Lantern
'Dustrial Decor, dustrial_decor:mini_padded_block, 12253, Mini Padded Block
'Dustrial Decor, dustrial_decor:mini_padded_slab, 12254, Mini Padded Slab
'Dustrial Decor, dustrial_decor:mini_padded_stairs, 12256, Mini Padded Stairs
'Dustrial Decor, dustrial_decor:mini_padded_vertical_slab, 12255, Mini Padded Vertical Slab
'Dustrial Decor, dustrial_decor:orange_neon_light, 12349, Orange Neon Light
'Dustrial Decor, dustrial_decor:padded_block, 12252, Padded Block
'Dustrial Decor, dustrial_decor:padded_door, 12258, Padded Door
'Dustrial Decor, dustrial_decor:padded_trapdoor, 12257, Padded Trapdoor
